Employee ID,First Name,Last Name,Gender,Country,City,Hire Date,Department,Job Title,Education Level,Performance Rating,Overtime,Salary,Birth Date,Termination Date,Adjusted Salary
EMP-10026,Joseph,Skeeter,Male,Spain,Madrid,2020-05-14,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Good,Yes,62226,1984-01-19,,67204
EMP-10027,Nancy,Fawley,Male,France,Marseille,2018-08-04,Auror Office,Auror,Advanced Magic Studies,Satisfactory,Yes,69125,1988-04-07,,72581
EMP-10028,Victor,Crouch,Female,UK,Edinburgh,2020-05-09,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,No,54830,1987-08-13,2023-08-20,55926
EMP-10029,Joseph,Bones,Male,UK,London,2022-10-22,Auror Office,Auror,Advanced Magic Studies,Good,Yes,56984,1985-04-06,,61542
EMP-10030,Amber,Fawcett,Male,UK,Bristol,2019-03-13,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Satisfactory,Yes,40021,1998-10-07,,40021
EMP-10031,Rachael,Keddle,Female,France,Lyon,2024-12-11,Auror Office,Investigator,Advanced Magic Studies,Good,Yes,54400,1992-04-05,,58208
EMP-10032,Jeffrey,Fletcher,Male,UK,Bristol,2021-10-17,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Good,Yes,48650,1992-12-22,,48650
EMP-10033,Trevor,Sinistra,Male,Spain,Seville,2017-05-09,Auror Office,Auror,Advanced Magic Studies,Good,Yes,54286,1986-01-18,,57000
EMP-10034,Daniel,Pritchard,Male,Spain,Madrid,2015-10-20,Auror Office,Investigator,Advanced Magic Studies,Good,Yes,54884,1990-06-23,,57628
EMP-10035,Erin,Avery,Male,UK,Edinburgh,2017-09-21,Magical Law Enforcement,Regulations Officer,Basic Wizardry,Satisfactory,No,41307,1996-03-21,,41307
EMP-10036,Patrick,Chang,Male,France,Lyon,2016-01-30,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Excellent,No,50064,1984-03-14,,50064
EMP-10037,John,Avery,Male,Germany,Berlin,2022-12-18,Magical Law Enforcement,Regulations Officer,Basic Wizardry,Satisfactory,Yes,53491,1996-12-26,,53491
EMP-10038,Erin,Bones,Female,Germany,Berlin,2024-05-30,Auror Office,Investigator,Advanced Magic Studies,Good,No,57288,1999-01-30,2024-11-26,61298
EMP-10039,Kayla,Cadwallader,Male,Italy,Florence,2016-12-12,Magical Creature Department,Beast Handler,Magical Creatures Training,Needs Improvement,No,47274,1986-01-19,,47274
EMP-10040,Ryan,Ollivander,Female,UK,London,2020-10-14,Auror Office,Auror,Advanced Magic Studies,Good,No,58559,1982-09-17,2022-07-11,64414
EMP-10041,Nancy,Macmillan,Female,Germany,Berlin,2022-09-20,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Satisfactory,Yes,56758,1987-10-19,2024-09-29,57893
EMP-10042,Kathleen,Zeller,Male,UK,Bristol,2019-06-25,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Satisfactory,No,42156,1998-01-06,,42156
EMP-10043,Monica,Bell,Male,Italy,Florence,2023-08-21,Auror Office,Investigator,Advanced Magic Studies,Good,Yes,59840,1985-06-22,,64627
EMP-10044,Eric,Thicknesse,Male,Spain,Barcelona,2020-01-29,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Good,No,57423,1992-05-19,2022-04-05,57423
EMP-10045,Stephanie,Spinnet,Male,Italy,Milan,2017-09-30,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Good,Yes,54086,1991-12-12,,54086
EMP-10046,Carol,Thruston,Male,Germany,Berlin,2024-01-09,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Satisfactory,No,50560,1979-01-27,,52076
EMP-10047,Daniel,Karkaroff,Female,Spain,Madrid,2023-04-25,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Good,No,46525,1988-09-01,,47455
EMP-10048,John,Bones,Female,UK,London,2021-03-05,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Satisfactory,Yes,41409,1996-06-04,,42237
EMP-10049,Stacey,Hooch,Female,France,Lyon,2019-02-05,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,39132,1998-10-08,,39914
EMP-10050,Lisa,Bundy,Male,Italy,Florence,2016-06-16,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,42374,1994-09-29,,42374
EMP-10051,David,Cresswell,Male,Italy,Florence,2024-01-24,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,No,53101,1988-05-14,,53101
EMP-10052,Frederick,Peverell,Female,France,Paris,2023-02-01,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Good,Yes,51005,1997-06-18,,52025
EMP-10053,Tamara,Tonks,Female,France,Lyon,2023-12-23,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Good,No,73356,1988-05-28,,78490
EMP-10054,Jessica,Burbage,Female,Germany,Munich,2024-03-05,Auror Office,Investigator,Advanced Magic Studies,Satisfactory,No,68864,1997-01-19,,73684
EMP-10055,Wanda,Ackerley,Male,France,Lyon,2018-06-03,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Good,Yes,62895,1984-01-21,2022-04-22,62895
EMP-10056,Rachel,Grindelwald,Male,Spain,Seville,2021-05-09,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Excellent,No,53248,1993-10-30,,53248
EMP-10057,John,Quirrell,Male,France,Paris,2022-09-06,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,31375,1994-10-04,,31375
EMP-10058,Brianna,Vaisey,Female,Germany,Berlin,2016-02-02,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,No,57423,1987-08-14,2016-10-04,58571
EMP-10059,Jeffrey,Lestrange,Female,UK,London,2018-11-30,Auror Office,Investigator,Advanced Magic Studies,Excellent,Yes,61467,1988-12-13,,65769
EMP-10060,Jeremy,Gryffindor,Male,Italy,Florence,2016-03-17,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Good,No,75517,1968-03-30,,81558
EMP-10061,Chad,Chang,Male,Germany,Berlin,2015-07-15,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,42254,1991-03-06,,42254
EMP-10062,Elizabeth,Filch,Female,Spain,Seville,2019-01-18,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Satisfactory,Yes,36149,1993-10-21,,36871
EMP-10063,David,MacDougal,Male,UK,Edinburgh,2018-08-24,Magical Law Enforcement,Regulations Officer,Basic Wizardry,Good,No,59674,1992-11-03,,59674
EMP-10064,Thomas,Applebee,Female,UK,Edinburgh,2024-09-18,Auror Office,Auror,Advanced Magic Studies,Needs Improvement,No,61181,1994-07-18,,65463
EMP-10065,James,Doge,Female,Spain,Seville,2023-01-17,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Satisfactory,No,59270,1991-12-04,,60455
EMP-10066,Michael,Vance,Female,Italy,Rome,2016-08-25,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Satisfactory,No,43954,1997-11-17,2020-10-22,44833
EMP-10067,Michelle,Slytherin,Male,Germany,Munich,2021-12-29,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,No,61197,1997-11-28,,61197
EMP-10068,Denise,Stebbins,Male,Italy,Florence,2015-12-03,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Satisfactory,No,56928,1992-05-26,,56928
EMP-10069,Richard,Selwyn,Female,Germany,Hamburg,2016-09-03,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,No,45565,1978-10-06,,47843
EMP-10070,John,Hooch,Male,Germany,Munich,2020-10-09,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,42221,1992-08-25,,42221
EMP-10071,Shane,Nott,Male,France,Marseille,2018-03-27,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Good,No,77559,1986-07-07,,81436
EMP-10072,Joshua,Dearborn,Male,France,Lyon,2022-03-06,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Excellent,No,31647,1995-04-27,,31647
EMP-10073,Sandra,Grindelwald,Male,Italy,Rome,2019-04-02,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Satisfactory,No,41786,1999-02-24,,41786
EMP-10074,Brent,Rosmerta,Female,UK,London,2022-07-16,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,Yes,56164,1985-11-23,,58972
EMP-10075,Alexis,Avery,Male,UK,Bristol,2024-03-13,Auror Office,Auror,Advanced Magic Studies,Satisfactory,No,68443,1998-06-12,,71865
EMP-10076,Richard,Davies,Female,Spain,Barcelona,2016-08-02,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,38561,1990-08-17,2018-06-29,39332
EMP-10077,Michelle,Slytherin,Male,Germany,Hamburg,2023-03-11,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Excellent,Yes,31625,1996-11-05,,31625
EMP-10078,Nicholas,Maxime,Female,Germany,Berlin,2015-12-31,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,30043,1988-10-26,,30643
EMP-10079,Sara,Whisp,Male,Spain,Seville,2021-08-22,Magical Creature Department,Beast Handler,Magical Creatures Training,Satisfactory,Yes,52648,1990-09-09,,52648
EMP-10080,Rodney,Crouch,Male,UK,London,2022-09-28,Auror Office,Auror,Advanced Magic Studies,Satisfactory,No,54882,1987-08-15,,57626
EMP-10081,Jennifer,Sloper,Female,Germany,Hamburg,2024-06-15,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,37195,2005-09-25,,37938
EMP-10082,Kenneth,Black,Male,UK,London,2017-08-19,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Needs Improvement,No,37078,1990-11-18,,37078
EMP-10083,Jill,Scamander,Male,Spain,Madrid,2015-12-30,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Satisfactory,Yes,30339,1995-11-13,,30339
EMP-10084,Brian,Applebee,Female,UK,Edinburgh,2016-01-14,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,34557,1991-05-23,,35248
EMP-10085,Wesley,Rookwood,Female,Spain,Madrid,2024-12-08,Auror Office,Investigator,Advanced Magic Studies,Good,No,60807,1993-01-27,,65063
EMP-10086,Brian,Potter,Male,Spain,Barcelona,2024-01-14,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Good,Yes,53244,1991-09-27,,53244
EMP-10087,Melissa,Ravenclaw,Male,Germany,Hamburg,2023-08-22,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Excellent,Yes,56334,1990-01-09,,56334
EMP-10088,Emma,Creevey,Male,Spain,Madrid,2016-03-01,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,Yes,64951,1978-07-03,,66899
EMP-10089,David,Coote,Male,Spain,Seville,2019-01-01,Auror Office,Auror,Advanced Magic Studies,Good,No,53849,1985-11-23,,56541
EMP-10090,Beth,Shimpling,Female,Spain,Seville,2024-09-09,Magical Creature Department,Beast Handler,Magical Creatures Training,Satisfactory,No,63063,1993-02-03,,64324
EMP-10091,Christopher,Scamander,Female,UK,Edinburgh,2015-09-04,Magical Law Enforcement,Regulations Officer,Basic Wizardry,Satisfactory,No,53596,1991-03-27,,54667
EMP-10092,Alexandra,Abercrombie,Male,Germany,Munich,2024-12-05,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,38022,2004-07-25,,38022
EMP-10093,Elizabeth,Kirke,Male,France,Lyon,2019-06-09,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Excellent,No,51181,1981-06-01,,52716
EMP-10094,Joseph,Bole,Male,Spain,Barcelona,2020-05-06,Magical Creature Department,Beast Handler,Magical Creatures Training,Satisfactory,No,49984,1988-06-29,,49984
EMP-10095,Stephen,Brown,Female,UK,Edinburgh,2017-03-24,Magical Creature Department,Beast Handler,Magical Creatures Training,Satisfactory,Yes,59972,1987-06-18,,61171
EMP-10096,Stephen,Fitzwilliam,Female,Italy,Milan,2016-03-26,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,40646,1986-05-30,,41458
EMP-10097,Charles,Peakes,Male,France,Marseille,2024-07-30,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Excellent,No,46176,1983-01-04,,47561
EMP-10098,Joseph,Krum,Male,Germany,Munich,2018-08-17,Auror Office,Auror,Advanced Magic Studies,Good,Yes,59812,1987-04-05,,62802
EMP-10099,Natasha,Hagrid,Male,Spain,Barcelona,2020-12-08,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,41170,1992-02-16,,41170
EMP-10100,Eric,Granger,Male,Italy,Milan,2021-04-15,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,37555,1996-02-26,,37555
EMP-10101,Tonya,Blackwood,Female,Italy,Milan,2024-03-29,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Excellent,No,64253,1989-07-25,2024-11-23,65538
EMP-10102,Elizabeth,Wood,Male,UK,Bristol,2023-12-31,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,Yes,57496,1984-04-16,,59220
EMP-10103,Sheila,Greengrass,Male,Spain,Barcelona,2024-06-08,Auror Office,Investigator,Advanced Magic Studies,Good,Yes,66276,1989-07-22,2024-12-10,69589
EMP-10104,Pamela,Lestrange,Male,Germany,Munich,2017-04-14,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Excellent,No,44481,1986-10-22,2018-10-04,44481
EMP-10105,Joseph,Patil,Female,France,Marseille,2024-05-30,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Satisfactory,No,69670,1979-09-25,,76637
EMP-10106,Grace,Abercrombie,Female,Germany,Hamburg,2018-08-01,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Satisfactory,No,43606,1994-06-08,2020-10-21,44478
EMP-10107,Tracy,Morgana,Male,Spain,Barcelona,2019-06-29,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Excellent,No,49612,1991-09-20,,49612
EMP-10108,Cynthia,Ollivander,Female,Spain,Barcelona,2015-11-12,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Satisfactory,No,54902,1982-06-16,,56000
EMP-10109,Adam,Lancaster,Female,Germany,Hamburg,2019-09-16,Auror Office,Investigator,Advanced Magic Studies,Good,Yes,65449,1980-06-25,,71993
EMP-10110,Evan,Riddle,Male,UK,Edinburgh,2017-03-23,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Needs Improvement,Yes,54902,1981-03-02,,56549
EMP-10111,Janice,Higgs,Female,Italy,Florence,2022-07-08,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Satisfactory,Yes,64445,1991-04-28,,68956
EMP-10112,Daniel,Vance,Male,UK,Bristol,2024-07-17,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Good,No,61034,1979-11-26,,62865
EMP-10113,Barry,Carrow,Male,UK,Edinburgh,2017-07-15,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Good,No,63255,1986-02-18,,66417
EMP-10114,Russell,Snape,Male,UK,Edinburgh,2021-04-13,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,Yes,51950,1986-05-07,,51950
EMP-10115,Michael,Gryffindor,Male,France,Lyon,2015-09-17,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Satisfactory,No,43595,1990-12-22,,43595
EMP-10116,Evelyn,Higgs,Male,Germany,Berlin,2015-09-05,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Excellent,No,44064,1991-10-14,2019-09-29,44064
EMP-10117,Kimberly,Ollivander,Male,UK,London,2016-09-30,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Satisfactory,No,67796,1978-10-25,,73219
EMP-10118,Kara,Bole,Male,France,Marseille,2021-11-30,Auror Office,Auror,Advanced Magic Studies,Excellent,No,61863,1992-07-01,,64956
EMP-10119,Theresa,Rosmerta,Male,Italy,Milan,2019-01-11,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,40540,1991-10-24,,40540
EMP-10120,Angel,Grindelwald,Female,Germany,Hamburg,2018-01-05,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,No,47647,1992-01-25,,48599
EMP-10121,Sarah,Silvanus,Male,Italy,Rome,2020-08-26,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Satisfactory,Yes,59575,1998-12-26,,59575
EMP-10122,Kristin,Twycross,Female,Germany,Munich,2019-03-23,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,33522,1993-10-12,2021-01-25,34192
EMP-10123,Monica,Karkaroff,Female,UK,London,2016-11-02,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Satisfactory,Yes,48352,1988-05-15,,49319
EMP-10124,James,Quincey,Male,Spain,Seville,2023-01-03,Auror Office,Investigator,Advanced Magic Studies,Good,Yes,62210,1986-10-26,,67186
EMP-10125,Kevin,Peakes,Male,Spain,Barcelona,2022-10-31,Magical Law Enforcement,Regulations Officer,Basic Wizardry,Good,No,53858,1993-10-20,,53858
EMP-10126,Andrew,King,Female,Germany,Berlin,2018-11-15,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Satisfactory,No,75800,1976-06-28,,83380
EMP-10127,Joshua,Scamander,Female,UK,London,2018-04-15,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Good,No,63243,1986-11-15,2021-07-27,64507
EMP-10128,Joshua,Rookwood,Male,UK,London,2016-03-07,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Satisfactory,No,45944,1994-05-12,,45944
EMP-10129,Erin,Bulstrode,Female,Germany,Munich,2023-09-01,Auror Office,Investigator,Advanced Magic Studies,Satisfactory,No,57049,1990-06-29,,61042
EMP-10130,Sheila,Thruston,Female,UK,Bristol,2024-02-14,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Excellent,No,44472,1999-10-10,,45361
EMP-10131,Gregory,Capper,Female,UK,Edinburgh,2016-12-17,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,Yes,59484,1985-11-16,,60673
EMP-10132,Daniel,Shimpling,Female,UK,London,2019-07-08,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,40930,1990-03-09,,41748
EMP-10133,Jessica,Zeller,Female,France,Paris,2022-05-24,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Good,No,69484,1984-03-10,,76432
EMP-10134,Catherine,Lestrange,Male,Italy,Rome,2020-05-03,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,40945,1997-10-12,,40945
EMP-10135,Paul,Coote,Female,UK,Edinburgh,2023-09-13,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Excellent,No,58789,1990-09-09,,59964
EMP-10136,Jonathan,Pettigrew,Male,France,Lyon,2024-10-22,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,41298,1998-01-23,,41298
EMP-10137,April,Filch,Female,Spain,Seville,2022-06-02,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Excellent,No,56125,1977-07-04,,58931
EMP-10138,Jennifer,Parkinson,Female,France,Marseille,2024-02-28,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Excellent,No,44839,2000-11-12,,45735
EMP-10139,Ryan,Pike,Male,Italy,Florence,2018-05-09,Auror Office,Auror,Advanced Magic Studies,Satisfactory,No,66191,1984-07-29,,69500
EMP-10140,Lee,Maxime,Female,Italy,Florence,2020-08-13,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,40276,2001-03-28,,41081
EMP-10141,Rachel,Krum,Female,Germany,Munich,2017-02-13,Auror Office,Auror,Advanced Magic Studies,Excellent,No,52431,1989-05-23,,56101
EMP-10142,Elizabeth,Lestrange,Female,Italy,Florence,2023-08-18,Auror Office,Investigator,Advanced Magic Studies,Good,No,66615,1988-11-30,,71278
EMP-10143,Heidi,Fenwick,Female,UK,Bristol,2020-07-19,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Good,Yes,47027,1989-04-08,,47967
EMP-10144,James,Goldstein,Male,Germany,Munich,2024-06-06,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Good,No,62172,1983-10-16,,64037
EMP-10145,Kaitlin,Slughorn,Male,Spain,Seville,2021-06-13,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,40336,2002-12-28,,40336
EMP-10146,Ashley,Bones,Female,Germany,Hamburg,2017-12-17,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,35461,1998-06-14,,36170
EMP-10147,Martha,Johnson,Female,France,Marseille,2021-11-28,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Satisfactory,No,31388,2001-04-01,,32015
EMP-10148,Jason,Dearborn,Female,Germany,Berlin,2020-03-03,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Needs Improvement,No,40984,1995-01-26,,41803
EMP-10149,Steven,Trelawney,Female,Spain,Seville,2024-11-12,Magical Creature Department,Beast Handler,Magical Creatures Training,Satisfactory,No,49507,1995-11-09,,50497
EMP-10150,Jason,Goldstein,Male,Spain,Madrid,2022-07-10,Auror Office,Investigator,Advanced Magic Studies,Satisfactory,Yes,54294,1994-01-16,,57008
EMP-10151,Rachel,Vector,Male,France,Marseille,2023-01-19,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Good,No,47783,2001-07-30,,47783
EMP-10152,Zachary,Merrythought,Female,Italy,Milan,2017-11-20,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Satisfactory,No,51357,1975-10-20,2020-10-16,53924
EMP-10153,Loretta,Blackwood,Male,UK,Bristol,2020-09-13,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Good,No,51543,1978-11-28,,53089
EMP-10154,Lance,Chang,Male,Germany,Munich,2018-12-30,Auror Office,Investigator,Advanced Magic Studies,Satisfactory,Yes,66905,1990-06-20,,70250
EMP-10155,Andrew,Black,Male,Italy,Rome,2018-05-22,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,No,52275,1983-06-06,,52275
EMP-10156,Cheryl,Trelawney,Female,Germany,Berlin,2019-03-02,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Excellent,Yes,57285,1990-05-12,,58430
EMP-10157,Robert,Thicknesse,Male,UK,London,2016-03-28,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Excellent,Yes,49547,1986-10-06,,49547
EMP-10158,Jennifer,Peakes,Male,France,Lyon,2024-10-17,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Excellent,Yes,79951,1981-06-11,,86347
EMP-10159,Reginald,Gudgeon,Male,UK,Bristol,2021-07-13,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,31816,1999-12-17,,31816
EMP-10160,Patricia,Urquart,Male,France,Marseille,2017-07-05,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Good,No,60051,1967-09-24,,64855
EMP-10161,Ronald,Bundy,Male,Spain,Madrid,2016-10-24,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Good,No,57237,1995-01-29,,57237
EMP-10162,Steven,Bagman,Male,Germany,Berlin,2017-12-28,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Satisfactory,No,53311,1990-08-23,,53311
EMP-10163,Samantha,Delaney,Female,France,Marseille,2024-06-25,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,No,35447,1998-09-28,,36155
